#show log messages | last 200 | no-more

Nov  2 14:30:00 vMX-NAPALM newsyslog[12191]: logfile turned over due to size>1024K
Nov  2 14:36:14  vMX-NAPALM file[12437]: UI_DBASE_OPEN_ALREADY: Database open failed for file '/var/run/db/juniper.db': already open
Nov  2 14:36:14  vMX-NAPALM file[12437]: UI_CHILD_WAITPID: waitpid failed: PID 0, rc 12441, status 0: Message too long
Nov  2 14:36:14  vMX-NAPALM file[12437]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 14:36:36  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 14:36:36  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 14:36:38  vMX-NAPALM sshd[12447]: Accepted password for napalm from 192.168.223.1 port 59508 ssh2
Nov  2 14:36:38  vMX-NAPALM sshd[12447]: subsystem request for netconf by user napalm
Nov  2 14:36:38  vMX-NAPALM sshd[12447]: subsystem request for netconf failed, subsystem not found
Nov  2 14:37:06  vMX-NAPALM sshd[12454]: Accepted password for napalm from 192.168.223.1 port 59520 ssh2
Nov  2 14:37:06  vMX-NAPALM sshd[12454]: subsystem request for netconf by user napalm
Nov  2 14:37:06  vMX-NAPALM sshd[12454]: subsystem request for netconf failed, subsystem not found
Nov  2 14:37:08  vMX-NAPALM inetd[2500]: /usr/sbin/sshd[12162]: exited, status 255
Nov  2 14:38:36  vMX-NAPALM sshd[12467]: Accepted password for napalm from 192.168.223.1 port 59551 ssh2
Nov  2 14:38:36  vMX-NAPALM sshd[12467]: subsystem request for netconf by user napalm
Nov  2 14:38:36  vMX-NAPALM sshd[12467]: subsystem request for netconf failed, subsystem not found
Nov  2 14:39:04  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 14:39:04  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 14:39:42  vMX-NAPALM mgd[2892]: UI_DBASE_LOGOUT_EVENT: User 'lab' exiting configuration mode
Nov  2 14:40:07  vMX-NAPALM sshd[12484]: Accepted password for napalm from 192.168.223.1 port 59572 ssh2
Nov  2 14:40:07  vMX-NAPALM sshd[12484]: subsystem request for netconf by user napalm
Nov  2 14:40:07  vMX-NAPALM sshd[12484]: subsystem request for netconf failed, subsystem not found
Nov  2 14:40:30  vMX-NAPALM sshd[12491]: Accepted password for napalm from 192.168.223.1 port 59579 ssh2
Nov  2 14:40:30  vMX-NAPALM sshd[12491]: subsystem request for netconf by user napalm
Nov  2 14:40:30  vMX-NAPALM sshd[12491]: subsystem request for netconf failed, subsystem not found
Nov  2 14:40:56  vMX-NAPALM sshd[12495]: Accepted password for napalm from 192.168.223.1 port 59592 ssh2
Nov  2 14:40:56  vMX-NAPALM sshd[12495]: subsystem request for netconf by user napalm
Nov  2 14:40:56  vMX-NAPALM sshd[12495]: subsystem request for netconf failed, subsystem not found
Nov  2 14:41:32  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 14:41:32  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 14:44:00  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 14:44:00  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 14:46:28  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 14:46:28  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 14:46:55  vMX-NAPALM sshd[12542]: Accepted password for napalm from 192.168.223.1 port 59696 ssh2
Nov  2 14:46:55  vMX-NAPALM sshd[12542]: subsystem request for netconf by user napalm
Nov  2 14:46:55  vMX-NAPALM sshd[12542]: subsystem request for netconf failed, subsystem not found
Nov  2 14:47:56  vMX-NAPALM sshd[12552]: Accepted password for napalm from 192.168.223.1 port 59710 ssh2
Nov  2 14:47:56  vMX-NAPALM sshd[12552]: subsystem request for netconf by user napalm
Nov  2 14:47:56  vMX-NAPALM sshd[12552]: subsystem request for netconf failed, subsystem not found
Nov  2 14:48:03  vMX-NAPALM mgd[2892]: UI_DBASE_LOGIN_EVENT: User 'lab' entering configuration mode
Nov  2 14:48:11  vMX-NAPALM mgd[2892]: UI_LOAD_EVENT: User 'lab' is performing a 'rollback'
Nov  2 14:48:13  vMX-NAPALM mgd[2892]: UI_DBASE_LOGOUT_EVENT: User 'lab' exiting configuration mode
Nov  2 14:48:15  vMX-NAPALM mgd[2892]: UI_DBASE_LOGIN_EVENT: User 'lab' entering configuration mode
Nov  2 14:48:18  vMX-NAPALM mgd[2892]: UI_COMMIT: User 'lab' requested 'commit' operation (comment: none)
Nov  2 14:48:19  vMX-NAPALM ffp[12570]: "dynamic-profiles": Profiles are being modified
Nov  2 14:48:19  vMX-NAPALM chassisd[12655]: CHASSISD_FILE_OPEN: File open: /dev/acb, error: 2 -- No such file or directory
Nov  2 14:48:19  vMX-NAPALM chassisd[12655]: CHASSISD_FILE_OPEN: File open: /dev/acb, error: 2 -- No such file or directory
Nov  2 14:48:19  vMX-NAPALM l2cpd[12661]: Initializing PNAC state machines
Nov  2 14:48:19  vMX-NAPALM l2cpd[12661]: Initializing PNAC state machines complete
Nov  2 14:48:19  vMX-NAPALM l2cpd[12661]: Initialized 802.1X module and state machines
Nov  2 14:48:19  vMX-NAPALM l2cpd[12661]: Read ACCESS profile () config
Nov  2 14:48:19  vMX-NAPALM ffp[12677]: "dynamic-profiles": Profiles are being modified
Nov  2 14:48:20  vMX-NAPALM /kernel: veriexec: no fingerprint for file='/sbin/disklabel' fsid=65 fileid=2387 gen=0 uid=0 pid=12910
Nov  2 14:48:20  vMX-NAPALM l2cpd[2517]: Read ACCESS profile () config
Nov  2 14:48:20  vMX-NAPALM mib2d[2497]: MIB2D_LIMIT_EXCEEDED: pkg_info_scan: exceeded limit 69: no more room for new packages, skipped.
Nov  2 14:48:20  vMX-NAPALM last message repeated 3 times
Nov  2 14:48:20  vMX-NAPALM mgd[2892]: UI_COMMIT_COMPLETED: commit complete
Nov  2 14:48:26  vMX-NAPALM mgd[2892]: UI_DBASE_LOGOUT_EVENT: User 'lab' exiting configuration mode
Nov  2 14:48:56  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 14:48:56  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 14:50:07  vMX-NAPALM sshd[13006]: Accepted password for napalm from 192.168.223.1 port 59741 ssh2
Nov  2 14:50:07  vMX-NAPALM sshd[13006]: subsystem request for netconf by user napalm
Nov  2 14:50:07  vMX-NAPALM sshd[13006]: subsystem request for netconf failed, subsystem not found
Nov  2 14:50:08  vMX-NAPALM file[13008]: UI_DBASE_OPEN_ALREADY: Database open failed for file '/var/run/db/juniper.db': already open
Nov  2 14:50:08  vMX-NAPALM file[13008]: UI_DBASE_RECREATE: User 'napalm' attempting database re-creation
Nov  2 14:50:08  vMX-NAPALM file[13008]: UI_DBASE_OPEN_ALREADY: Database open failed for file '/var/run/db/juniper.db': already open
Nov  2 14:50:08  vMX-NAPALM file[13008]: UI_CHILD_WAITPID: waitpid failed: PID 0, rc 13012, status 0: Message too long
Nov  2 14:50:08  vMX-NAPALM file[13008]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 14:50:25  vMX-NAPALM mgd[2892]: UI_DBASE_LOGIN_EVENT: User 'lab' entering configuration mode
Nov  2 14:50:31  vMX-NAPALM mgd[2892]: UI_DBASE_LOGOUT_EVENT: User 'lab' exiting configuration mode
Nov  2 14:51:24  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 14:51:24  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 14:53:52  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 14:53:52  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 14:56:20  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 14:56:20  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 14:58:48  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 14:58:48  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:01:16  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:01:16  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:03:44  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:03:44  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:04:08  vMX-NAPALM sshd[13110]: Accepted password for napalm from 192.168.223.1 port 60030 ssh2
Nov  2 15:04:08  vMX-NAPALM sshd[13110]: subsystem request for netconf by user napalm
Nov  2 15:04:08  vMX-NAPALM sshd[13110]: subsystem request for netconf failed, subsystem not found
Nov  2 15:04:13  vMX-NAPALM mgd[2892]: UI_DBASE_LOGIN_EVENT: User 'lab' entering configuration mode
Nov  2 15:05:07  vMX-NAPALM mgd[2892]: UI_LOAD_EVENT: User 'lab' is performing a 'rollback'
Nov  2 15:05:07  vMX-NAPALM mgd[2892]: UI_COMMIT: User 'lab' requested 'commit' operation (comment: none)
Nov  2 15:05:08  vMX-NAPALM ffp[13131]: "dynamic-profiles": Profiles are being modified
Nov  2 15:05:08  vMX-NAPALM chassisd[13216]: CHASSISD_FILE_OPEN: File open: /dev/acb, error: 2 -- No such file or directory
Nov  2 15:05:08  vMX-NAPALM chassisd[13216]: CHASSISD_FILE_OPEN: File open: /dev/acb, error: 2 -- No such file or directory
Nov  2 15:05:08  vMX-NAPALM l2cpd[13222]: Initializing PNAC state machines
Nov  2 15:05:08  vMX-NAPALM l2cpd[13222]: Initializing PNAC state machines complete
Nov  2 15:05:08  vMX-NAPALM l2cpd[13222]: Initialized 802.1X module and state machines
Nov  2 15:05:08  vMX-NAPALM l2cpd[13222]: Read ACCESS profile () config
Nov  2 15:05:08  vMX-NAPALM ffp[13238]: "dynamic-profiles": Profiles are being modified
Nov  2 15:05:09  vMX-NAPALM /kernel: veriexec: no fingerprint for file='/sbin/disklabel' fsid=65 fileid=2387 gen=0 uid=0 pid=13471
Nov  2 15:05:09  vMX-NAPALM l2cpd[2517]: Read ACCESS profile () config
Nov  2 15:05:09  vMX-NAPALM mib2d[2497]: MIB2D_LIMIT_EXCEEDED: pkg_info_scan: exceeded limit 69: no more room for new packages, skipped.
Nov  2 15:05:09  vMX-NAPALM last message repeated 3 times
Nov  2 15:05:09  vMX-NAPALM mgd[2892]: UI_COMMIT_COMPLETED: commit complete
Nov  2 15:05:10  vMX-NAPALM mgd[2892]: UI_DBASE_LOGOUT_EVENT: User 'lab' exiting configuration mode
Nov  2 15:05:13  vMX-NAPALM sshd[13551]: Accepted password for napalm from 192.168.223.1 port 60048 ssh2
Nov  2 15:05:13  vMX-NAPALM sshd[13551]: subsystem request for netconf by user napalm
Nov  2 15:05:13  vMX-NAPALM sshd[13551]: subsystem request for netconf failed, subsystem not found
Nov  2 15:05:14  vMX-NAPALM file[13553]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 15:05:20  vMX-NAPALM mgd[2892]: UI_DBASE_LOGIN_EVENT: User 'lab' entering configuration mode
Nov  2 15:05:22  vMX-NAPALM mgd[2892]: UI_DBASE_LOGOUT_EVENT: User 'lab' exiting configuration mode
Nov  2 15:06:12  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:06:12  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:07:04  vMX-NAPALM sshd[13571]: Accepted password for napalm from 192.168.223.1 port 60082 ssh2
Nov  2 15:07:04  vMX-NAPALM sshd[13571]: subsystem request for netconf by user napalm
Nov  2 15:07:04  vMX-NAPALM sshd[13571]: subsystem request for netconf failed, subsystem not found
Nov  2 15:07:04  vMX-NAPALM file[13573]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 15:07:51  vMX-NAPALM sshd[13582]: Accepted password for napalm from 192.168.223.1 port 60094 ssh2
Nov  2 15:07:51  vMX-NAPALM sshd[13582]: subsystem request for netconf by user napalm
Nov  2 15:07:51  vMX-NAPALM sshd[13582]: subsystem request for netconf failed, subsystem not found
Nov  2 15:07:51  vMX-NAPALM file[13584]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:07:52  vMX-NAPALM l2cpd[13676]: Initializing PNAC state machines
Nov  2 15:07:52  vMX-NAPALM l2cpd[13676]: Initializing PNAC state machines complete
Nov  2 15:07:52  vMX-NAPALM l2cpd[13676]: Initialized 802.1X module and state machines
Nov  2 15:07:52  vMX-NAPALM l2cpd[13676]: Read ACCESS profile () config
Nov  2 15:07:52  vMX-NAPALM dcd[13679]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:07:52  vMX-NAPALM dcd[13679]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:07:52  vMX-NAPALM file[13584]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 15:08:35  vMX-NAPALM sshd[13698]: Accepted password for napalm from 192.168.223.1 port 60109 ssh2
Nov  2 15:08:35  vMX-NAPALM sshd[13698]: subsystem request for netconf by user napalm
Nov  2 15:08:35  vMX-NAPALM sshd[13698]: subsystem request for netconf failed, subsystem not found
Nov  2 15:08:35  vMX-NAPALM file[13700]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:08:36  vMX-NAPALM l2cpd[13792]: Initializing PNAC state machines
Nov  2 15:08:36  vMX-NAPALM l2cpd[13792]: Initializing PNAC state machines complete
Nov  2 15:08:36  vMX-NAPALM l2cpd[13792]: Initialized 802.1X module and state machines
Nov  2 15:08:36  vMX-NAPALM l2cpd[13792]: Read ACCESS profile () config
Nov  2 15:08:36  vMX-NAPALM dcd[13795]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:08:36  vMX-NAPALM dcd[13795]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:08:36  vMX-NAPALM file[13700]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 15:08:40  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:08:40  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:11:08  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:11:08  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:13:22  vMX-NAPALM mgd[2892]: UI_DBASE_LOGIN_EVENT: User 'lab' entering configuration mode
Nov  2 15:13:23  vMX-NAPALM mgd[2892]: UI_DBASE_LOGOUT_EVENT: User 'lab' exiting configuration mode
Nov  2 15:13:26  vMX-NAPALM sshd[13839]: Accepted password for napalm from 192.168.223.1 port 60211 ssh2
Nov  2 15:13:26  vMX-NAPALM sshd[13839]: subsystem request for netconf by user napalm
Nov  2 15:13:26  vMX-NAPALM sshd[13839]: subsystem request for netconf failed, subsystem not found
Nov  2 15:13:27  vMX-NAPALM file[13841]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:13:27  vMX-NAPALM l2cpd[13934]: Initializing PNAC state machines
Nov  2 15:13:27  vMX-NAPALM l2cpd[13934]: Initializing PNAC state machines complete
Nov  2 15:13:27  vMX-NAPALM l2cpd[13934]: Initialized 802.1X module and state machines
Nov  2 15:13:27  vMX-NAPALM l2cpd[13934]: Read ACCESS profile () config
Nov  2 15:13:27  vMX-NAPALM dcd[13937]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:13:27  vMX-NAPALM dcd[13937]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:13:27  vMX-NAPALM file[13841]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:13:28  vMX-NAPALM l2cpd[14036]: Initializing PNAC state machines
Nov  2 15:13:28  vMX-NAPALM l2cpd[14036]: Initializing PNAC state machines complete
Nov  2 15:13:28  vMX-NAPALM l2cpd[14036]: Initialized 802.1X module and state machines
Nov  2 15:13:28  vMX-NAPALM l2cpd[14036]: Read ACCESS profile () config
Nov  2 15:13:28  vMX-NAPALM dcd[14039]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:13:28  vMX-NAPALM dcd[14039]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:13:28  vMX-NAPALM file[13841]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 15:13:36  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:13:36  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:14:33  vMX-NAPALM sshd[14060]: Accepted password for napalm from 192.168.223.1 port 60229 ssh2
Nov  2 15:14:33  vMX-NAPALM sshd[14060]: subsystem request for netconf by user napalm
Nov  2 15:14:33  vMX-NAPALM sshd[14060]: subsystem request for netconf failed, subsystem not found
Nov  2 15:14:33  vMX-NAPALM file[14062]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:14:34  vMX-NAPALM l2cpd[14154]: Initializing PNAC state machines
Nov  2 15:14:34  vMX-NAPALM l2cpd[14154]: Initializing PNAC state machines complete
Nov  2 15:14:34  vMX-NAPALM l2cpd[14154]: Initialized 802.1X module and state machines
Nov  2 15:14:34  vMX-NAPALM l2cpd[14154]: Read ACCESS profile () config
Nov  2 15:14:34  vMX-NAPALM dcd[14157]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:14:34  vMX-NAPALM dcd[14157]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:14:34  vMX-NAPALM file[14062]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 15:15:22  vMX-NAPALM sshd[14180]: Accepted password for napalm from 192.168.223.1 port 60243 ssh2
Nov  2 15:15:22  vMX-NAPALM sshd[14180]: subsystem request for netconf by user napalm
Nov  2 15:15:22  vMX-NAPALM sshd[14180]: subsystem request for netconf failed, subsystem not found
Nov  2 15:15:23  vMX-NAPALM file[14182]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:15:23  vMX-NAPALM l2cpd[14274]: Initializing PNAC state machines
Nov  2 15:15:23  vMX-NAPALM l2cpd[14274]: Initializing PNAC state machines complete
Nov  2 15:15:23  vMX-NAPALM l2cpd[14274]: Initialized 802.1X module and state machines
Nov  2 15:15:23  vMX-NAPALM l2cpd[14274]: Read ACCESS profile () config
Nov  2 15:15:23  vMX-NAPALM dcd[14277]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:15:23  vMX-NAPALM dcd[14277]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:15:24  vMX-NAPALM file[14182]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 15:15:47  vMX-NAPALM sshd[14293]: Accepted password for napalm from 192.168.223.1 port 60254 ssh2
Nov  2 15:15:47  vMX-NAPALM sshd[14293]: subsystem request for netconf by user napalm
Nov  2 15:15:47  vMX-NAPALM sshd[14293]: subsystem request for netconf failed, subsystem not found
Nov  2 15:15:48  vMX-NAPALM file[14295]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:15:48  vMX-NAPALM l2cpd[14387]: Initializing PNAC state machines
Nov  2 15:15:48  vMX-NAPALM l2cpd[14387]: Initializing PNAC state machines complete
Nov  2 15:15:48  vMX-NAPALM l2cpd[14387]: Initialized 802.1X module and state machines
Nov  2 15:15:48  vMX-NAPALM l2cpd[14387]: Read ACCESS profile () config
Nov  2 15:15:48  vMX-NAPALM dcd[14390]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:15:48  vMX-NAPALM dcd[14390]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:15:49  vMX-NAPALM file[14295]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:15:49  vMX-NAPALM l2cpd[14489]: Initializing PNAC state machines
Nov  2 15:15:49  vMX-NAPALM l2cpd[14489]: Initializing PNAC state machines complete
Nov  2 15:15:49  vMX-NAPALM l2cpd[14489]: Initialized 802.1X module and state machines
Nov  2 15:15:49  vMX-NAPALM l2cpd[14489]: Read ACCESS profile () config
Nov  2 15:15:49  vMX-NAPALM dcd[14492]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:15:49  vMX-NAPALM dcd[14492]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:15:49  vMX-NAPALM file[14295]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 15:15:58  vMX-NAPALM sshd[14506]: Accepted password for napalm from 192.168.223.1 port 60258 ssh2
Nov  2 15:15:58  vMX-NAPALM sshd[14506]: subsystem request for netconf by user napalm
Nov  2 15:15:58  vMX-NAPALM sshd[14506]: subsystem request for netconf failed, subsystem not found
Nov  2 15:15:59  vMX-NAPALM file[14508]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:15:59  vMX-NAPALM l2cpd[14602]: Initializing PNAC state machines
Nov  2 15:15:59  vMX-NAPALM l2cpd[14602]: Initializing PNAC state machines complete
Nov  2 15:15:59  vMX-NAPALM l2cpd[14602]: Initialized 802.1X module and state machines
Nov  2 15:15:59  vMX-NAPALM l2cpd[14602]: Read ACCESS profile () config
Nov  2 15:15:59  vMX-NAPALM dcd[14605]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:15:59  vMX-NAPALM dcd[14605]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:15:59  vMX-NAPALM file[14508]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:16:00  vMX-NAPALM l2cpd[14704]: Initializing PNAC state machines
Nov  2 15:16:00  vMX-NAPALM l2cpd[14704]: Initializing PNAC state machines complete
Nov  2 15:16:00  vMX-NAPALM l2cpd[14704]: Initialized 802.1X module and state machines
Nov  2 15:16:00  vMX-NAPALM l2cpd[14704]: Read ACCESS profile () config
Nov  2 15:16:00  vMX-NAPALM dcd[14707]: UI_CONFIGURATION_ERROR: Process: dcd, path: <none>, statement: <none>, VLAN Encapsulation: Not allowed on untagged interfaces
Nov  2 15:16:00  vMX-NAPALM dcd[14707]: UI_CONFIGURATION_ERROR: Process: dcd, path: [edit interfaces ge-0/0/4], statement: unit 0,  invalid encapsulation
Nov  2 15:16:00  vMX-NAPALM file[14508]: UI_LOAD_EVENT: User 'napalm' is performing a 'rollback'
Nov  2 15:16:04  vMX-NAPALM rpd[2498]: BGP_CONNECT_FAILED: bgp_connect_start: connect 10.0.0.1 (Internal AS 1): No route to host
Nov  2 15:16:04  vMX-NAPALM rpd[2498]: : No route to host
Nov  2 15:17:23  vMX-NAPALM sshd[14726]: Accepted password for napalm from 192.168.223.1 port 60285 ssh2
Nov  2 15:17:23  vMX-NAPALM sshd[14726]: subsystem request for netconf by user napalm
Nov  2 15:17:23  vMX-NAPALM sshd[14726]: subsystem request for netconf failed, subsystem not found
Nov  2 15:17:23  vMX-NAPALM file[14728]: UI_COMMIT: User 'napalm' requested 'commit' operation (comment: none)
Nov  2 15:17:24  vMX-NAPALM l2cpd[14820]: Initializing PNAC state machines
Nov  2 15:17:24  vMX-NAPALM l2cpd[14820]: Initializing PNAC state machines complete
Nov  2 15:17:24  vMX-NAPALM l2cpd[14820]: Initialized 802.1X module and state machines
Nov  2 15:17:24  vMX-NAPALM l2cpd[14820]: Read ACCESS profile () config
